unicode	ids_sequence	xhzd_index	variant	variant_warning	gong_huangcheng_reading	rhyme_class	initial_class	pronunciation_warning	english_definition
𗐇	⿺𘡄𘫵	3090			lhọ	2.62	IX		ugly
𗐈	⿺𘡄𘨻	3088			bjij	1.36			dung beetles
𗐉	⿺𘡄⿰𘢡𘤕	2600			mjar	1.82	I		hair
𗐊	⿺𘡄𘪱	3558			piə̣j				sweet words
𗐋	⿱𘡅⿰𘠈𘠶	3401			ɣja	2.16	VIII		umbrella of a carriage
𗐌	⿱𘡅𘤅	3432			·wa	1.17	II		a surname
𗐍	⿱𘡅𘤮	3018			kej		V		cover
𗐎	⿱𘡅𘥓	3391			pjɨ	1.30	I		father
𗐏	⿱𘡅𘦘	3036			lhjụ	2.52	IX		teapoy
𗐐	⿱𘡅𘨓	3423			xjow	1.56	VIII		fragrant
𗐑	⿱𘡅⿰𘤧𘠢	3398			śji	1.10	VII		scarf
𗐒	⿱𘡅⿲𘢰𘠁𘠢	3005			ɣja	2.16	VIII		fast
𗐓	⿳𘡅𘢸𘡯	3038			sjwɨ	1.30	VI		to choke
𗐔	⿱𘡅⿰𘥇𘢷	3083			ɣar	2.73	VIII		land
𗐕	⿱𘡅⿰𘣂𘥓	3448			pjij	2.33	I		father
𗐖	⿱𘡅⿲𘠞𘫽𘠢	3392			tśji	1.10	VII		to arrive
𗐗	⿱𘡅⿲𘥇𘠳𘠢	3015			lhjụ	2.52	IX		to capture
𗐘	⿳𘡅𘣍⿰𘠶𘡃	3043			kho	1.49	V		to arrive
𗐙	⿱𘡅⿲𘣲𘢬𘠢	3016			du̱	2.5	III		aspiration
𗐚	⿱𘡅⿰𘦳𘤮	3188			rjor	2.81	IX		to ferment
𗐛	⿳𘡅⿰𘢌𘢌𘣗	2994			war	2.73	II		numerous
𗐜	⿱𘡅⿲𘤏𘢌𘤑	3008			ɣja	2.16	VIII		cover
𗐝	⿸𘡈⿰𘣀𘠅	3822			ɣjiw	2.40	VIII		butter
𗐞	⿸𘡈⿰𘠣𘣀	3825			tśjɨ	1.29	VII		butter
𗐟	⿸𘡈⿰𘣑𘠢	3816			tśji	2.9	VII		natural resources
𗐠	⿸𘡈⿰𘠮𘣀	3828			tśjɨ	1.29	VII		to present (a gift)
𗐡	⿸𘡈⿰𘠣𘤡	3820	𗐢		tśjɨ	1.29	VII		presently
𗐢	⿸𘡈⿰𘠣𘤢	3814			tśjɨ	1.29	VII		presently
𗐣	⿸𘡈⿰𘠮𘣧	3821			lu	2.1	IX		to enjoin
𗐤	⿸𘡈⿰𘠮𘥦	3813			·wjịj	2.54	II		to see someone off
𗐥	⿸𘡈⿰𘤜𘢌	3829			kwə	1.27	V		fortune
𗐦	⿸𘡈⿱𘢸𘦳	3824			lu	2.1	IX		bridal chamber
𗐧	⿸𘡈⿰𘦳𘥦	3817			njij	2.33	III		to present (a gift)
𗐨	⿲𘡉𘤜𘢌	3893			śie	1.9	VII		rare
𗐩	⿲𘡉𘤜𘧓	3938			śie	1.9	VII		a surname
𗐪	⿱𘡊⿰𘠁𘠡	4775			khjow	2.48	V		respectability
𗐫	⿱𘡊𘡯	4795			·wej	2.30	II		to tell
𗐬	⿱𘡊⿰𘠡𘠡	4933			kə	2.25	V		to sew
𗐭	⿱𘡊⿰𘠮𘠡	4761			śjwa	1.19	VII		to speak
𗐮	⿱𘡊𘣵	4676			ljɨj	2.37	IX		ball
𗐯	⿱𘡊⿲𘠁𘠡𘠢	4719			kiẹj	2.53	V		boundary
𗐰	⿱𘡊𘥇	4842			phə	2.25	I		apron
𗐱	⿱𘡊⿰𘠡𘠴	4884			nji	2.10	III		an auxiliary word
𗐲	⿱𘡊⿲𘠈𘠁𘡃	5042			bə	1.27	I		soft
𗐳	⿱𘡊⿰𘠨𘠴	4865			tśjij	1.35	VII		fort
𗐴	⿱𘡊⿲𘠁𘠮𘠢	4681			nju	1.3	III		ear
𗐵	⿱𘡊⿰𘠶𘡃	4803			lji	2.9	IX		to see
𗐶	⿱𘡊⿲𘠁𘠳𘠢	4720	𗁛		lạ	2.56	IX		to estimate
𗐷	⿱𘡊⿰𘠐𘡽	4843			sjɨ̣	1.69	VI		clean
𗐸	⿱𘡊⿰𘠐𘢌	4804			sej	1.33	VI		a surname
𗐹	⿱𘡊⿰𘠐𘢬	4760			·ã	1.24	VIII		a transliteration
𗐺	⿱𘡊⿻⿰𘠒𘠒𘠊	4794			mẽ	1.15	I		door
𗐻	⿱𘡊𘦛	4857			·jɨ	2.28	VIII		clothing
𗐼	⿱𘡊𘦳	4858			dźjwa̱	1.21	VII		to hit
𗐽	⿱𘡊⿰𘡒𘡑	5034			tshow	1.54	VI		singer
𗐾	⿱𘡊⿰𘢺𘠡	4921			swẽ	1.15	VI		a surname
𗐿	⿱𘡊⿰𘣀𘠡	4939			ŋwe	2.7	V		relatives
𗑀	⿱𘡊⿰𘠡𘢚	4931			dźji		VII		to unfold
𗑁	⿱𘡊⿰𘠮𘢓	4744			·jow	2.48	VIII		appearance
𗑂	⿱𘡊⿰𘠱𘢓	5038			wər	2.76	II		membrane
𗑃	⿱𘡊⿰𘣫𘠢	5055			tśjĩ	1.16	VII		a transliteration
𗑄	⿱𘡊𘧭	5054			tśju	1.2	VII		have to
𗑅	⿱𘡊⿰𘣴𘠢	4728			gjɨ̣	2.61	V		ancestor
𗑆	⿱𘡊⿲𘠐𘠌𘡃	4819			tjɨ̱	1.32	III		to share
𗑇	⿱𘡊⿰𘠐𘣣	4820			mạ	1.63	I		son-in-law
𗑈	⿱𘡊⿰𘠐𘣩	4750			dzjɨ̣	2.61	VI		to beat; to hide (?)
𗑉	⿱𘡊⿲𘠐𘠳𘠢	4684			mej	1.33	I		eyes
𗑊	⿱𘡊⿰𘠁𘥷	4759			ŋa	2.14	V		night
𗑋	⿱𘡊⿲𘠁𘠡𘡾	4721			khjow	2.48	V		basket
𗑌	⿱𘡊⿰𘢌𘠴	4866			kiej	1.34	V		incomplete
𗑍	⿱𘡊⿰𘢌𘡕	5001			lja̱	2.18	IX		to trade
𗑎	⿱𘡊⿰𘤷𘠡	4942			sjɨ̱	2.29	VI		to whisper
𗑏	⿱𘡊⿲𘠡𘠁𘢌	4985			tha	2.14	III		a surname
𗑐	⿱𘡊𘨻	4788			lew	2.38	IX		a surname
𗑑	⿱𘡊⿰𘠣𘤆	4798			mior	1.90	I		a transliteration
𗑒	⿱𘡊⿲𘠮𘢌𘠁	4768			śjwa	1.19	VII		ambition
𗑓	⿱𘡊⿰𘧤𘠆	4723			dji	1.11	III		to move
𗑔	⿱𘡊⿰𘡯𘡯	4831			mə	2.25	I		honest
𗑕	⿱𘡊⿰𘡱𘢌	4954			dzji	2.9	IV		beautiful
𗑖	⿱𘡊⿰𘠐𘥤	4818			ŋwer	1.77	V		a hint given with the eyes
𗑗	⿱𘡊⿲𘠐𘤜𘠅	4751			sej	1.33	VI		clean
𗑘	⿱𘡊⿰𘠐𘦲	4694			swej	1.33	VI		clean
𗑙	⿱𘡊⿰𘠐𘧓	4848			ɣã	1.24	VIII		a surname
𗑚	⿱𘡊⿰𘠁𘨓	4853			ga̱r	1.83	V		to play
𗑛	⿱𘡊⿰𘠁⿱𘠛𘤩	4796			zjɨr	1.86	IX		south
𗑜	⿱𘡊⿲𘠒𘫺𘠴	4690			gu̱	1.5	V		treasure
𗑝	⿱𘡊⿲𘠁𘥔𘠢	4739			tsewr	1.87	VI		joint
𗑞	⿱𘡊⿰𘢉𘡧	4678			khjiw	1.45	V		a transliteration
𗑟	⿱𘡊⿰𘢌𘡫	4989			·wjị	1.67	II		relatives
𗑠	⿱𘡊⿰𘢌𘢌	4950			rjir	2.72	IX		and
𗑡	⿱𘡊⿰𘢌𘢩	5002			rjir	2.72	IX		to lose
𗑢	⿱𘡊⿰𘢌𘢪								
𗑣	⿱𘡊⿲𘢌𘠈𘡑	4943	𗑤		ɣwa	1.17	VIII		harmonious
𗑤	⿱𘡊⿺𘢍⿰𘠈𘡑	4863			ɣwa	1.17	VIII		harmonious
𗑥	⿱𘡊⿰⿱𘠚𘠳𘠴	4886			tśjij	1.35	VII		to adore
𗑦	⿱𘡊⿰𘢤⿱𘠛⿰𘠁𘠄	4753			śjwɨr	1.86	VII		frank
𗑧	⿱𘡊⿰𘦳𘠡	4941			tjọ	1.72	III		to make (wine, vinegar)
𗑨	⿱𘡊⿰𘣀𘢤	4926			ŋjow	2.48	V		to fight
𗑩	⿱𘡊⿰𘣀𘣈	4868			gji̱	2.12	V		hope
𗑪	⿱𘡊⿰𘣇𘢌	5045			kjwĩ	1.16	V		a man of noble character
𗑫	⿱𘡊⿰𘠈⿰𘠁⿰𘢰𘠢	5031			bə	1.27	I		a transliteration
𗑬	⿱𘡊⿰𘠣𘦂	4799			dzu	1.1	VI		dregs
𗑭	⿱𘡊⿰𘠣𘧓	4854			njwɨ	2.28	III		fat
𗑮	⿱𘡊⿲𘠨𘢒𘠢	4901			djɨ	2.28	III		small dish
𗑯	⿱𘡊⿰𘡫𘥇	5007			gjur	2.70	V		to lie down
𗑰	⿱𘡊⿰𘡮𘤅	4769			tshej	1.33	VI		property
𗑱	⿳𘡊𘠀⿲𘠁𘥔𘠢	4740			kja	2.17	V		rob; festival
𗑲	⿱𘡊⿲𘣤𘠁𘡃	4980			tśhji̱w	1.47	VII		to speak
𗑳	⿱𘡊⿰𘡰𘣣	4974			na̱	2.19	III		thousand
𗑴	⿱𘡊⿰𘣫𘢌	5059			lwã	1.24	IX		a surname
𗑵	⿱𘡊⿲𘠁𘠮𘤧	4758			tsjɨ	1.30	VI		big cymbals
𗑶	⿱𘡊⿰𘠐𘧨	4805			zew	2.38	IX		straight
𗑷	⿱𘡊⿰𘡸𘤾	4683			to	2.42	III		all
𗑸	⿱𘡊⿲𘠐𘢔𘡑	4767			ɣwej	1.33	VIII		to fight
𗑹	⿱𘡊⿲𘠐𘢬𘠴	4685			·ã	1.24	VIII		a transliteration
𗑺	⿱𘡊⿰𘠁𘩢	4789			nju	1.3	III		a kind of vegetable
𗑻	⿱𘡊⿲𘠁𘦖𘠢	4725			ɣạ	1.63	VIII		joint
𗑼	⿱𘡊⿲𘠁𘦳𘠢	4709			njij	1.36	III		end
𗑽	⿱𘡊⿰𘢉𘤘	4806			khji				a transliteration
𗑾	⿱𘡊⿲𘢌𘠨𘠢	4902			ŋwu̱	1.5	V		speech
𗑿	⿱𘡊⿰𘢌𘣩	4924			lja̱	2.18	IX		single
𗒀	⿱𘡊⿰𘢌𘣵	4887			tshwew	1.43	VI		to support
𗒁	⿱𘡊⿲𘢏𘠁𘢌	4973			dzju	1.2	VI		love
𗒂	⿱𘡊⿰𘤅𘢌	5051			njạ	1.64	III		marriage
𗒃	⿱𘡊⿰𘢌𘤋	4951	𗒄		lja̱	2.18	IX		frontier
𗒄	⿱𘡊⿺𘢍𘤋	4862			lja̱	2.18	IX		frontier
𗒅	⿱𘡊⿰𘢌𘤾	4867			śjɨr	1.86	VII		a surname
𗒆	⿱𘡊⿰𘢌𘥇	5003			xiwa	2.15	VIII		a transliteration
𗒇	⿱𘡊⿰𘢌𘥗	4925			nwew	1.43	III		six-year-old sheep
𗒈	⿱𘡊⿰𘦢𘠴	4707			dźiəj	2.36	VII		pond
𗒉	⿱𘡊⿰𘤧𘢌	5044			la	1.17	IX		a transliteration
𗒊	⿱𘡊𘪰	4673						true	dirt
𗒋	⿱𘡊⿲𘢰𘢌𘠁	4763			śiow	1.55	VII		to gather
𗒌	⿱𘡊⿰𘫿𘢌	4955			ljɨ̱	1.32	IX		a surname
𗒍	⿱𘡊⿰𘡒𘥤	5043			dzjwɨ	2.28	VI		to resolve
𗒎	⿱𘡊⿰𘡒𘧌	5048			·jow	2.48	VIII		song
𗒏	⿱𘡊⿰𘡒𘧓								
𗒐	⿱𘡊⿲𘢷𘠁𘢷	5030			ɣiwej	1.34	VIII		to receive
𗒑	⿱𘡊⿰𘨶𘠡	4940			·jɨ	2.28	VIII		a transliteration
𗒒	⿱𘡊⿰𘨷𘠢	4870			me	2.7	I		arrogant
𗒓	⿱𘡊⿰𘥇𘢌	4837			tśhia	1.18	VII		gorgeous
𗒔	⿱𘡊⿰𘡔𘦆	4828			ŋjow	2.48	V		a surname
𗒕	⿱𘡊⿲𘠡𘤧𘠢	4895			ljwịj	1.61	IX		neck
𗒖	⿱𘡊⿰𘠡⿱𘠡𘣗	4885			dźjɨ̣		VII		to stretch
𗒗	⿱𘡊⿰𘥔𘡧	5056			khjij	1.36	V		brother’s son
𗒘	⿱𘡊⿰𘥔𘢓	5057			ɣiej	1.34	VIII		true
𗒙	⿱𘡊⿰𘥔𘢤	5058			ɣiej	1.34	VIII		multitudinous
𗒚	⿱𘡊⿲𘠈𘠁𘧮	5035			bə	1.27	I		to present (a gift)
𗒛	⿱𘡊⿰𘠣𘨏	4811			·ụ	2.51	VIII		to ride
𗒜	⿱𘡊⿲𘠨𘠁𘦛	4969			dźjwa	1.19	VII		to lose
𗒝	⿱𘡊⿰𘡢𘦦	4844			mjĩ	1.16	I		a transliteration
𗒞	⿱𘡊⿲𘣜𘠨𘠢	5018			na̱	2.19	III		vegetable
𗒟	⿱𘡊⿰𘡫𘦳	4992				2.44	III	true	to demand
𗒠	⿱𘡊⿰𘩑𘠢	4724			kiej	2.31	V		cervical vertebra
𗒡	⿱𘡊⿰𘠮𘧹	4822			dzjwɨ	2.28	VI		to go
𗒢	⿱𘡊⿰𘣣𘣮	4708			śiej	1.34	VII		to guide
𗒣	⿱𘡊⿰𘡯𘥜	4727			bjị	2.60	I		to advocate
𗒤	⿱𘡊⿰𘣤𘥇	5004			gjur	1.76	V		one-year-old sheep
𗒥	⿱𘡊⿲𘡰𘠁𘣦	4923			·jow	2.49	VIII		to revere
𗒦	⿱𘡊⿲𘡰𘠁𘤕	4975			na̱	2.19	III		to seek
𗒧	⿱𘡊⿲𘠁𘠩𘦳	4836			ɣạ	1.63	VIII		to cut off
𗒨	⿱𘡊⿰𘠁⿰𘠮⿰𘢪𘠢	4696			bạ	1.63	I		cymbals
𗒩	⿱𘡊⿲𘠁𘠮𘧓	4849			nju	1.3	III		a surname
𗒪	⿱𘡊⿲𘠐𘢌𘢰	4752			wạ	2.56	II		altar
𗒫	⿱𘡊⿲𘠐𘤘𘠴	4695			gji̱w	1.47	V		a transliteration
𗒬	⿱𘡊⿰𘠁⿰𘠡⿰𘤧𘠢	4722	𗂱		lə	1.27	IX		neck
𗒭	⿱𘡊⿲𘠁𘥓𘡧	4731			khjɨ	1.30	V		brother’s son
𗒮	⿱𘡊⿰𘢉𘦌	4823			khja̱	1.21	V		a transliteration
𗒯	⿱𘡊⿰𘢉𘦳	4807			khji	1.11	V		to lose
𗒰	⿱𘡊⿲𘢌𘠁𘣩	4932			rjir	2.72	IX		lonely
𗒱	⿱𘡊⿲𘢌𘠁𘤻	4971			śjwi	1.10	VII		year
𗒲	⿱𘡊⿲𘢌𘠁𘥒	4972			tśie	1.9	VII		to amuse
𗒳	⿱𘡊⿲𘢌𘢪𘠢	4903			khu	1.1	V		bell
𗒴	⿱𘡊⿲𘢌𘡔𘠱	4988			tśhjwɨ̱	1.32	VII		to make (wine, vinegar)
𗒵	⿱𘡊⿲𘢌𘠈𘣒	4920			kwa	1.17	V		to tie
𗒶	⿱𘡊⿲𘡃𘠁𘦳	4970	𗒯	true	khji	1.11	V		belt
𗒷	⿱𘡊⿲𘫽𘫺𘠢	4905			rjar	2.74	IX		parents
𗒸	⿱𘡊⿰𘫺𘨷	4949			lə	1.27	IX		stomach (of a bird)
𗒹	⿳𘡊⿰𘠗𘠗𘥷	4778			śjạ	1.64	VII		seven
𗒺	⿱𘡊⿰𘢟𘦳	4801			tśhew	2.38	VII		broken
𗒻	⿱𘡊⿰𘦝𘢰	4791			kjur	2.70	V		skilful
𗒼	⿱𘡊⿰𘦞𘢌	4808			khwẹj	1.60	V		to expand
𗒽	⿱𘡊⿲𘤩𘠁𘢷	5005			thju	1.3	III		resentment
𗒾	⿱𘡊⿰𘤫𘣣	4825			me	2.7	I		to sleep
𗒿	⿱𘡊⿰𘤮𘣝	4845			lu	1.1	IX		warehouse
𗓀	⿱𘡊⿰𘤮𘥌	4746			lu	1.1	IX		to hide
𗓁	⿱𘡊⿰𘧀𘢌	5026			mji	1.11	I		to listen
𗓂	⿱𘡊⿰𘤷𘤩	4993			sjɨ	2.28	VI		to know
𗓃	⿱𘡊⿲𘢰𘫺𘠴	4692			gu̱	1.5	V		dark
𗓄	⿱𘡊⿲𘡒𘢌𘡑	5039			ŋwej	2.30	V		harmonious
𗓅	⿱𘡊⿲𘡒𘦳𘠁	5040			kia̱	2.20	V		to mend
𗓆	⿱𘡊⿲𘢷𘠁𘤩	5024			ljij	1.36	IX		to change
𗓇	⿱𘡊⿰𘥆𘤊	4968			kiə	2.26	V		cervical vertebra
𗓈	⿱𘡊⿰𘥇𘤾	4729			lhwu	1.1	IX		clothing
𗓉	⿱𘡊⿰𘣀𘦜	4869			kjɨ	1.30	V		father-in-law
𗓊	⿱𘡊⿰𘣀𘧓	5011			khiow	2.48			a surname
𗓋	⿱𘡊⿰𘥔𘤄	5060			ɣiej	1.34	VIII		a kind of animal
𗓌	⿱𘡊⿰𘨼𘠴	5032					VII	true	long
𗓍	⿱𘡊⿲𘠣𘡤𘢌	4826			śia̱	2.20	VII		turbulent (current)
𗓎	⿱𘡊⿲𘠣𘠐𘧀	4850			lwụ	1.58	IX		to mix
𗓏	⿳𘡊𘣍⿰𘠶𘡃	4810			dźji		VII		to look
𗓐	⿱𘡊⿲𘡤𘢒𘠴	4691			ɣjɨ̣	1.69	VIII		to rumor
𗓑	⿱𘡊⿲𘣑𘠁𘤻	4976			·wejr	2.66	VIII		to guard
𗓒	⿱𘡊⿰𘣑𘦢	4977			dzju	1.2	VI		father-in-law
𗓓	⿱𘡊⿲𘠮𘢌𘢓	4762			tśhjij	1.35	VII		to go
𗓔	⿱𘡊⿰𘡯𘨆	4832			tshjij	1.36	VI		a surname
𗓕	⿱𘡊⿲𘠳𘤱𘡃	4987			·wiow	1.55	II		a transliteration
𗓖	⿱𘡊⿲𘣲𘢬𘠢	4733			gja̱	2.21	V		dexterous
𗓗	⿱𘡊⿲𘡸𘤱𘠢	4706			dźju̱	2.6	VII		a transliteration
𗓘	⿱𘡊⿲𘠁𘢌𘦞	4784			xjɨj	1.42	VIII		wide
𗓙	⿱𘡊⿲𘠁𘦳𘢓	4776			pə̣	1.68	I		to hit
𗓚	⿱𘡊⿲𘣹𘢒𘠢	4737			ma	2.14	I		to apply
𗓛	⿱𘡊⿲𘠁𘤻𘣻	4718			nwə		III		wizard
𗓜	⿱𘡊⿰𘢉𘡝𘡤	4754			khjo̱r	1.95	V		a transliteration
𗓝	⿱𘡊⿰𘤃𘥦	4910			wej	2.30	II		to clear away
𗓞	⿱𘡊⿰𘢌𘧭	5012			tśju	1.2	VII		a surname
𗓟	⿱𘡊⿰𘢌⿱𘠀⿲𘠁𘢌𘠁	4934			ŋwər	1.84	V		fourth
𗓠	⿱𘡊⿰𘤅𘥴	5052			djịj	1.61	III		mixed blood
𗓡	⿱𘡊⿲𘤅𘢌𘠌	5050			rjir	2.72	IX		wealth
𗓢	⿱𘡊⿲𘢌𘤉𘠢	4893			·wjɨ	1.29	II		mother-in-law
𗓣	⿱𘡊⿲𘢌𘠈𘦃	4944	𗓤		dźjij	2.32	VII		honest
𗓤	⿱𘡊⿺𘢍⿰𘠈𘦃	4864			dźjij	2.32	VII		honest
𗓥	⿱𘡊⿲𘫽𘠁𘤅	4937			śjow	2.48	VII		dawn
𗓦	⿱𘡊⿰𘢒𘨃	4922			dwu̱	2.5	III		secret
𗓧	⿱𘡊⿰𘫾𘥩	4938			ɣa	1.17	VIII		a surname
𗓨	⿱𘡊⿰𘨈𘢌	5028			mẹ	2.58	I		to seek
𗓩	⿱𘡊⿰𘦞𘤆	4809			bəj	1.40	I		wide
𗓪	⿱𘡊⿰𘨟𘡦	4792			sjwĩ	1.16	VI		a transliteration
𗓫	⿱𘡊⿰𘦳𘤆	4960			phu	1.1	I		robe
𗓬	⿱𘡊⿰𘢬𘨷	4982			wejr	2.66	II		flourish (?); wide
𗓭	⿱𘡊⿰𘤮𘦢	4824			lwej	1.33	IX		wealth
𗓮	⿱𘡊⿰𘧀𘤘	5025			mja	2.17	I		a transliteration
𗓯	⿱𘡊⿰𘧀𘤩	5027						true	employment
𗓰	⿱𘡊⿲𘢰𘢌𘠴	4693			na	1.17	III		deep
𗓱	⿱𘡊⿲𘫿𘠁𘫿	4978			tjij	1.36	III		if
𗓲	⿱𘡊⿰𘥇𘦞	4790			bo	1.49	I		robe
𗓳	⿱𘡊⿰𘥇𘦼	4736			na	1.17	III		fat
𗓴	⿱𘡊⿰𘥇𘥖	4838			phə	2.25	I		a kind of clothing making of crude gunny
𗓵	⿱𘡊⿰𘣀𘨃	4927			·jijr	2.68	VIII		a surname
𗓶	⿱𘡊⿰𘥖𘥇	5006			lo		IX		shirt made by rough cloth
𗓷	⿱𘡊⿲𘠣⿱𘥃𘠒𘠢	4686			khjwã	1.26	V		a surname
𗓸	⿱𘡊⿰𘣜𘨱	5016			na̱	2.19	VII		oath
𗓹	⿱𘡊⿲𘡫𘦳𘠢	4914			ljwịj	1.61	IX		a surname
𗓺	⿱𘡊⿰𘣤𘨷	4957			wə	1.27	II		fur-lined jacket
𗓻	⿱𘡊⿲𘠐𘠳𘨱	4687			khiar	1.81	V		mist
𗓼	⿱𘡊⿲𘠐𘦳𘢷	4847			ŋwe	2.7	V		oath
𗓽	⿱𘡊⿲𘠁𘦳𘤾	4710			lo	1.49	IX		a transliteration
𗓾	⿱𘡊⿲𘢌𘠨𘤬	4990			tshew	2.38	VI		close
𗓿	⿱𘡊⿲𘢌𘠳𘤾	4913			rjir	2.72	IX		sleepy
𗔀	⿱𘡊⿲𘤅𘤬𘠢	5049			·wja	1.19	II		father
𗔁	⿱𘡊⿰𘢏𘪄	4953			sji	2.10	VI		god
𗔂	⿱𘡊⿰𘩡𘡭	4888			tsji	1.11	VI		small dish
𗔃	⿱𘡊⿰𘤟𘧩	4959			tśji	2.9	VII		rouge
𗔄	⿱𘡊⿰𘦞𘧘	4851			bia	2.15	I		gruel
𗔅	⿱𘡊⿰𘨎𘤔	5021			kiew	2.39	V		corner
𗔆	⿱𘡊⿰𘨟𘤻	4839			sjo	1.51	VI		to store
𗔇	⿱𘡊⿰𘨟𘤾	4730			·ụ	2.51	VIII		warehouse
𗔈	⿱𘡊⿰𘦳𘦘	4936			tśiã	1.25	VII		a transliteration
𗔉	⿱𘡊𘫩	4981			tśhio̱w	1.57	VII		perhaps
𗔊	⿱𘡊⿰𘧀𘥾	5029			kwow	2.47	V		anger
𗔋	⿱𘡊⿰𘫿𘨆	4979			bow	1.54	I		a surname
𗔌	⿱𘡊⿰𘫿𘨷	4956			zjị	2.60	IX		shoes
𗔍	⿱𘡊⿲𘣀𘢤𘢌	4986			ŋjow	2.48	V		industrious
𗔎	⿱𘡊⿰𘥔𘧸	5061			ɣiej	1.34	VIII		to put in order
𗔏	⿱𘡊⿲𘠣𘢌⿱𘠊𘡤	4786			lwụ	2.51	IX		to stir
𗔐	⿱𘡊⿲𘠣𘫿𘤏	4785			njụ	2.52	III		kind
𗔑	⿱𘡊⿰𘠣𘫒	4800			kạ	2.56	V		clothes for cattle
𗔒	⿱𘡊⿰𘣤⿱𘡅𘤅	4945			·wə	1.27	II		husband
𗔓	⿱𘡊⿰𘧨𘦳	4961					IX	true	to borrow
𗔔	⿱𘡊⿲𘠁⿱𘡩⿰𘠨𘡃𘠢	4726			lhjụ	2.52	IX		bamboo
𗔕	⿱𘡊⿰𘠁⿰𘢢⿰𘢌𘢰	4783			njir	2.72	III		platform
𗔖	⿱𘡊⿲𘠁𘪲𘠴	4711			tsewr	1.87	VI		to slaughter
𗔗	⿱𘡊⿰𘥾𘧳	4830			śja̱	2.18	VII		stinking
𗔘	⿱𘡊⿰𘢌⿱𘡊⿲𘠁𘠮𘠢	4894			mjo	1.51	I		to listen
𗔙	⿱𘡊⿰𘢌𘪴	4952			tśhji̱	1.14	VII		to screen
𗔚	⿱𘡊⿰𘨆𘦽	4833			phə	2.25	I		beautiful
𗔛	⿱𘡊⿰𘦛𘫵	4906			gjwi	2.10	V		to dress
𗔜	⿱𘡊⿲𘢤𘤜𘢌	4821			lwəj	1.40	IX		fast
𗔝	⿱𘡊⿲𘨎𘢚𘠢	5020			kiew	2.39	V		a transliteration
𗔞	⿱𘡊⿲𘤩𘢷𘢶	4918			mjɨr	1.86	I		livestock
𗔟	⿱𘡊⿲𘦮𘤊𘠢	4701			ɲ?		IV	true	a surname
𗔠	⿱𘡊⿲𘨟𘠁𘤾	4732			sju	1.3	VI		to store
𗔡	⿱𘡊⿰𘦱𘫵	4915			ljɨ̣	1.69	IX		to mend
𗔢	⿱𘡊⿲𘦳𘤻𘠢	4907			tjị	1.67	III		to make (wine, vinegar)
𗔣	⿱𘡊⿰𘤳⿱𘠛⿰𘢌𘠢	4698			rjɨj	2.37	IX		a transliteration
𗔤	⿱𘡊⿰𘠳⿰𘢰⿰𘢌𘠴	4899			kiwe	1.9	V		dark
𗔥	⿱𘡊⿲𘠐𘪲𘠴	4697			dze	1.8	VI		to contend
𗔦	⿱𘡊⿲𘢏𘢌𘦜	4904			mjijr	2.68	I		a surname
𗔧	⿱𘡊⿲𘨟𘠁𘦛	4840			sju	2.3	VI		cupboard
𗔨	⿱𘡊⿰𘦳𘫶	4896			tśiə	2.26	VII		to twine
𗔩	⿱𘡊⿲𘦳𘠐𘦗	4900			ɣiẹj	2.53	VIII		to transport
𗔪	⿱𘡊⿰𘪄𘥦	4892			kiwẹj	1.60	V		to thunder
𗔫	⿱𘡊⿲𘤳𘨷𘠢	4700			djụ	1.59	III		to meet
𗔬	⿱𘡊⿰𘨭𘧳	4962			we	2.7	II		a surname
𗔭	⿱𘡊⿰𘪒𘦗	4703			ŋewr	2.78	V		to get
𗔮	⿱𘡊⿰𘣀⿱𘥉𘤻	4958			ŋiow	2.48	V		to cherish
𗔯	⿱𘡊⿰𘠃⿱𘨝⿰𘠨𘡃	4829			dzji	1.11	VI		to fight
𗔰	⿱𘡊⿰𘠣𘫩	4834			njụ	2.52	III		milk
𗔱	⿱𘡊⿲𘩗𘢌𘠴	5022			ljɨ	1.29	IX		impressive and dignified manners
𗔲	⿱𘡊⿲𘢒𘨃𘢌	4984			tshew	2.38	VI		firm
𗔳	⿱𘡊⿲𘨴𘦂𘠢	4702			zar	1.80	IX		ancestor
𗔴	⿱𘡊⿲𘠣𘫒𘠴	4712			·jur	2.70	VIII		a surname
𗔵	⿱𘡊⿰𘧫𘪣	4963			kjụ	1.59	V		a surname
𗔶	⿱𘡊⿰𘡱𘫩	4998			kowr	1.91	V		a surname
𗔷	⿱𘡊⿲𘦳𘤆𘫿	4994			tśiow	2.48	VII		a transliteration
𗔸	⿱𘡊⿲𘤳𘪃𘠢	4699			bạ	2.56	I		a surname
𗔹	⿱𘡊⿰𘠁𘫲	4835			·jijr	1.74	VIII		a surname
𗔺	⿱𘡊⿲𘫿𘤆𘨷	4991			lji̱	2.12	IX		pants
𗔻	⿱𘡊⿲𘫽𘫕𘠢	4883			·jar	2.74	VIII		dexterous
𗔼	⿱𘡊⿰𘫲𘠴	4916			ɣwej	1.33	VIII		to fight
𗔽	⿰𘡋𘣟	5153			khiwə	1.28	V		a surname
𗔾	⿸𘡋𘣟	4852			khiə	1.28			a surname
𗔿	⿰⿸𘡋𘠮𘠢	5412			lwər	2.76	IX		ceremony
𗕀	⿸𘡋𘤃	5294			·o	2.42	VIII		a kind of grass
