unicode	ids_sequence	xhzd_index	variant	variant_warning	gong_huangcheng_reading	rhyme_class	initial_class	pronunciation_warning	english_definition
𘓷	⿰𘧤𘪡	860			kwər	1.84	V		body
𘓸	⿰𘧤𘪣	231			ɣjɨr	1.86	VIII		vulture
𘓹	⿲𘧤𘠵𘦮	1623			·wạ	2.56	II		palace
𘓺	⿲𘧤𘤏𘢌	510			ŋwər	1.84	V		emperor
𘓻	⿰𘧥𘠟	4629			ɣia	1.18	VIII		to cook
𘓼	⿰𘧥𘠴	4555			pə	1.27	I		fire
𘓽	⿰𘧥𘡧	4556			lọ	2.62	IX		roast meat
𘓾	⿰𘧥𘢬	4660			·jã	1.26	VIII		a transliteration
𘓿	⿰𘧥𘤥	4659			wie	2.8	II		to stew
𘔀	⿰𘧥𘤻	4631			wju	1.2	II		pot
𘔁	⿰𘧥𘦔	4661			bji	1.11	I		one of the decimal cycle of ten characters
𘔂	⿰𘧥𘦢	4662			dźjɨ̣	1.67	VII		to burn
𘔃	⿰𘧥𘨓	4670			tsjwu	1.3	VI		kettle
𘔄	⿰𘧥𘫴	4627			lọ	2.62	IX		to eat
𘔅	⿰𘧥𘫘	4557			zjur	2.70	IX		torch
𘔆	⿲𘧥𘣩𘦬								
𘔇	⿲𘧥𘣩𘦳	4663			lha	1.17	IX		to extinguish
𘔈	⿰𘧥⿱𘧉𘨆	4632			dwər	1.84	III		a kind of sore
𘔉	⿰𘧥⿱𘧉⿰𘢤𘢱	4628			dwər	2.76	III		to burn
𘔊	⿰𘧧𘪶	1266			piə	1.28	I		gorgeous
𘔋	⿰𘧨𘦳	1739				2.3	III	true	to borrow money
𘔌	⿰𘧨⿱𘣘⿰𘠒𘠉	895			dźjịj	2.54	VII		to fight
𘔍	⿰𘧨⿱𘡊⿰𘠳𘠢	1698			ju̱	1.7	VIII		to present (a gift)
𘔎	⿲𘧨𘡯𘣝	381			dã	1.24	III		to eat
𘔏	⿰𘧩𘠴	250			bẹ	1.65	I		sand
𘔐	⿰𘧩𘡭	260			ŋa	1.17	V		red
𘔑	⿰𘧩𘢉	529			njij	1.36	III		to be stifled to death
𘔒	⿰𘧩𘢌	547			njij	2.33	III		a surname
𘔓	⿰𘧩𘢒	696			tśiwe	1.9	VII		red
𘔔	⿰𘧩𘣣	363			nu	1.1	III		a transliteration
𘔕	⿰𘧩𘤃	593			njij	2.33	III		a kind of grass
𘔖	⿰𘧩𘤥	1678			njij	2.33	III		chin
𘔗	⿰𘧩𘤳	1235			njĩ	1.16	III		a transliteration
𘔘	⿰𘧩𘥓	1402			xụ̃	1.96	VIII		red
𘔙	⿰𘧩𘥿	548			njij	2.33	III		a kind of insect
𘔚	⿰𘧩𘦜	1671			njij	1.36	III		red
𘔛	⿰𘧩⿱𘡎𘠶	1236			dźjɨ̣	2.61	VII		red
𘔜	⿲𘧩𘢌𘠴	298			tśhjĩ	1.16	VII		a surname
𘔝	⿰𘧩𘨃	1858			njij	2.33	III		to hide
𘔞	⿰𘧩𘪄	1741			xow	1.54	VIII		a transliteration
𘔟	⿲𘧩𘦿𘠢	820			dzjɨ̣	2.61	VII		red
𘔠	⿰𘧩⿰𘠨⿰𘠁𘤘	1774			njij	1.36	III		servant
𘔡	⿰𘧩⿱𘠗⿰𘥿𘠁	1723			njij	2.33	III		colored silk
𘔢	⿲𘧪𘠁𘤩	1639			khwạ	1.63	V		far
𘔣	⿰𘧪𘨱	915			tha̱	1.22	VI		to haunt
𘔤	⿲𘧫𘢰𘢌	577			kjụ	1.59	V		dark
𘔥	⿰𘧫𘪣	351			kjụ	1.59	V		parrot
𘔦	⿰𘧬⿱𘣍𘤅	197			rer	2.71	IX		to win
𘔧	𘧭	150			gjụ	1.59	V		seat
𘔨	⿰𘧭𘢌	638			njij	2.33	III		to force
𘔩	⿲𘧭𘢈𘨱	982			dwər	2.76	III		to drive away (a ghost)
𘔪	⿰𘧮𘢌	522			dzjɨj	1.42	VI		quiet
𘔫	⿰𘧮𘣩	214			lụ	2.51	IX		poor
𘔬	⿰𘧮𘧖	1050			bji	1.11	I		property
𘔭	⿰𘧮𘨐	1604			dzjɨj	1.42	VI		money
𘔮	⿰𘧮𘫴	981			war	2.73	VIII		wealth
𘔯	⿰𘧯𘢌	4040			khju̱	1.6	V		to greet
𘔰	⿰𘧳𘠅	3187			·ọ	2.62	VIII		tear
𘔱	⿰𘧳𘢿	3802			pja	1.20	I		crooked
𘔲	⿰𘧳𘣩	2192			mji̱j	1.39	I		corpse
𘔳	⿰𘧳𘤊	3299			lwew	1.43	IX		gas
𘔴	⿰𘧳𘦂	3300			dju		III		to give birth
𘔵	⿰𘧳𘦲	3602			kwə̱	1.31	V		snore
𘔶	⿰𘧳𘧦	2141			khwụ	2.51	V		to blow
𘔷	⿰𘧳𘩏	2243			sjij	1.36	VI		moisture
𘔸	⿲𘧳𘡯𘡧	2116			·ọ	1.70	VIII		to yawn
𘔹	⿰𘧳⿱𘠀⿲𘡃𘠁𘡃	2276			bə	2.25	I		replete
𘔺	⿲𘧳𘦂𘠢	2782			khji	2.10	V		gas
𘔻	⿰𘧳⿱𘡩⿰𘠁𘤕	2877			khjo	2.44	V		a transliteration
𘔼	⿲𘧴𘠁𘢌	2484			nio̱w	1.57	III		cause
𘔽	⿲𘧴𘠁𘥂	3125			nio̱w	1.57	III		fair
𘔾	⿰𘧵𘤃	2421			lhow	1.54	IX		a kind of grass
𘔿	⿰𘧵⿱𘤊𘠺	3009			lho		IX		quail
𘕀	⿰𘧶𘨒	3809			dzji̱	2.12	III		to know
𘕁	⿰𘧸𘨏	3993			zjɨr	1.86	IX		to note
𘕂	⿰𘧹𘡧	3852			dźjij	1.35	VII		to go
𘕃	⿰𘧹𘡮	3858			dźjij	1.35	VII		to comment
𘕄	⿰𘧹𘢓	3952			tã	1.24	III		upright
𘕅	⿰𘧹𘤧	4014			tã	1.24	III		scabies
𘕆	⿰𘧹𘦳	3992			tã	1.24	III		to bear (a burden)
𘕇	⿰𘧻𘠅	3953	𗐝		ɣjiw	2.40	VIII		butter
𘕈	⿰𘧻𘠾	3947			tśjɨ	1.29	VII		to realize
𘕉	⿰𘧼𘤸	3966			wjị	1.67	II		taste
𘕊	⿰𘧼⿱𘡛𘤸	3968			khiə	2.26	V		taste
𘕋	⿰𘧿𘡫	5148			dźjị	2.60	VII		fault
𘕌	⿰𘨁𘠳	5127			twụ	2.51	III		genuine
𘕍	⿰𘨁𘡑								
𘕎	⿰𘨂𘨬	5554			njij	2.33	III		to listen
𘕏	⿰𘨂𘩁	5117			gjiwr	2.79	V		to seek
𘕐	⿰𘨃𘢒	5889			lə	2.25	IX		to steal
𘕑	⿰𘨃𘣮	5820			·ụ	1.58	VIII		to cover
𘕒	⿰𘨃𘤆	5890			ku	1.4	V		loose
𘕓	⿰𘨃𘤻	5931			no̱	2.45	III		to send
𘕔	⿰𘨃𘥗	5923			lə	1.27	IX		then
𘕕	⿰𘨃𘦅	5865			sọ	1.70	VI		three
𘕖	⿰𘨃𘦳	5974			wjịj	2.54	II		to send
𘕗	⿰𘨃𘥖	5930			ku	2.4	V		woolen blanket
𘕘	⿰𘨃𘪋	5925	𘕙		tsə	1.27	VI		a transliteration
𘕙	⿰𘨃⿱𘢸𘡥	5920			tsə	1.27	VI		a transliteration
𘕚	⿲𘨃𘤻𘢞	5887			ne̱j	2.34	III		to post
𘕛	⿰𘨆𘡯	5143			kiej	1.34	V		to swear
𘕜	⿰𘨆𘣞	5091			gja	2.17	V		I
𘕝	⿰𘨆𘤥	5696			bej	1.33	I		smallpox
𘕞	⿰𘨆𘦌	5367			dzjị	2.60	VI		to instigate
𘕟	⿰𘨆𘦞	5785			zewr	2.78	IX		brown rice
𘕠	⿰𘨆𘦲	5697			tśior	1.90	VII		dirty
𘕡	⿰𘨆𘦽	5564			zewr	1.87	IX		graceful
𘕢	⿰𘨆𘨴	5541			bjɨ	1.30	I		enemy
𘕣	⿰𘨇𘧃	5688			wa	2.14	VIII		how
𘕤	⿰𘨈𘢌	5346			·ju	2.2	VIII		to seek
𘕥	⿰𘨈𘦗	5773			ljạ	1.64	IX		evidence
𘕦	⿰𘨈𘧃								
𘕧	⿲𘨈𘢌𘡧	5250			da̱	2.19	III		to tour
𘕨	⿲𘨈⿱𘡊𘠳𘢌	5348			sji̱	1.14	VI		to cry bitterly
𘕩	⿰𘨈⿱𘡊⿰𘠳𘢌	5777	𘕨		sji̱	1.14	VI		to cry bitterly
𘕪	⿺𘨋𘣠	5253			ɣew	1.43	VIII		a transliteration
𘕫	⿰𘨌𘢓	5543			ŋewr	1.87	V		to fear
𘕬	⿰𘨌⿱𘢏𘠄	5282			bji	1.11	I		to grow
𘕭	⿰𘨌𘨳	5567			bji	1.11	I		abundant
𘕮	⿰𘨍𘠐	5280			xjɨ	1.30			a transliteration
𘕯	⿰𘨍𘡀	5281			xji	1.11	VIII		surprised
𘕰	𘨎	5814			phu	2.1	I		tree
𘕱	⿰𘨎𘠴	5843			śju	2.2	VII		a place name
𘕲	⿲𘨎𘠁𘢌	5876			kụ	2.51	V		to tie
𘕳	⿰𘨎𘤅	5873			kụ	2.51	V		brothers
𘕴	⿰𘨎𘤔	5894			dzjɨj	2.37	VI		corner
𘕵	⿰𘨎𘤕	5897			śiew	1.44	VII		branch
𘕶	⿰𘨎𘦑	5898			phju̱	1.7	I		to cover
𘕷	⿰𘨎𘫑	5954			pjowr	2.83	I		luxuriant
𘕸	⿰𘨏𘠢	5423			tjạ	1.64	III		all
𘕹	⿰𘨏𘡬	5093			tśhjiw	1.45	VII		a surname
𘕺	⿰𘨏𘡾	5503			gju	1.3	V		canal
𘕻	⿰𘨏𘤷	5565			gju	2.3	V		three
𘕼	⿰𘨏𘧓	5469			gju	2.3	V		a surname
𘕽	⿲𘨏𘤷𘠢	5427			gju	2.3	V		world
𘕾	⿰𘨑𘣵	5851			njijr	2.68	III		all
𘕿	⿰𘨓𘠴	5856			ɣa	2.14	VIII		a preposition
𘖀	⿰𘨓𘢕	5879			sji	2.10	VI		year
𘖁	⿲𘨓𘠌𘫽	5969			tsha	1.17	VI		hollow bag
𘖂	⿲𘨔𘤘𘠴	5194			ŋewr	2.78	V		a kind of deer
𘖃	⿰𘨕𘣣	5139			·wạ	2.56	II		marriage
𘖄	⿰𘨖𘣈	5161			khə	1.27	V		bottom
𘖅	⿰𘨗𘢌	5287			we	1.8	II		a surname
𘖆	𘨘	4946			ljɨj	2.37	IX		to sing
𘖇	⿱𘨘𘠺	4873			ljɨj	2.37	IX		manners
𘖈	⿱𘨘𘥷	4779			ljɨj	2.37	IX		experience
𘖉	⿰𘨙𘦌	5402			khjij	2.33	V		to reach
𘖊	⿰𘨚𘢚	5382			mjɨ	2.28	I		foot mark
𘖋	⿰𘨚𘤬	5752			ŋə	1.27	V		fatness
𘖌	⿰𘨚𘤳	5619			mjɨ	2.28	I		naughty children
𘖍	⿰𘨚𘥗	5618			gji̱	1.14	V		to beg
𘖎	⿰𘨚𘦌	5395			wjịj	1.61	II		short
𘖏	⿰𘨚𘦎	5374			mjɨ	1.30	I		right now
𘖐	⿰𘨚𘧦	5193			mjɨ	2.28	I		fire
𘖑	⿰𘨚𘨶	5643			mjɨ	1.30	I		not
𘖒	⿰𘨚⿱𘡊⿰𘠳𘠢	5733			mjɨ̣	2.61	I		to investigate
𘖓	⿲𘨚𘡒𘤮	5745			lji̱	2.12	IX		to break
𘖔	⿰𘨚⿱𘣍𘤅	5230			śiwa	2.15	VII		to shrink
𘖕	⿲𘨚𘧃𘢞	5376			tsjo	1.51	VI		restless
𘖖	⿰𘨚𘫕	5162			mjɨ	1.30	I		mother
𘖗	⿰𘨚𘫙	5173			la	2.14	VII		to rescue
𘖘	⿰𘨚⿱𘡣𘧱	5232	𘖗		la	2.14	VII		to rescue
𘖙	⿰𘨛𘣮	5249			no	2.42	III		a unit of measurement for rolls of cloth or silk
𘖚	⿰𘨛𘤆	5408			no	2.42	III		marsh
𘖛	⿰𘨜𘢌	5345			śjow	1.56	VII		kind
𘖜	⿱𘨝𘡪	5015			kjwi	1.11	V		lock
𘖝	⿱𘨝⿰𘠁𘡬	4715						true	a transliteration
